TIME,TEMP,HUM,BATT,LIGHT,NOISE_A,PRESS,CCS811_VOCS,CCS811_ECO2,GPS_FIX,GPS_LAT,GPS_LONG,GPS_ALT,GPS_SPEED,GPS_HDOP,GPS_SATNUM,PM_1,PM_25,PM_10
2020-10-01 02:19:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:25+02:00,23.0,63.1,98.0,0.0,31.51,101.2,6.0,444.0,3.0,41.396902000000004,2.194317,70.28,,257.0,8.0,3.0,3.0,3.0
2020-10-01 02:19:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:19:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:10+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:15+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:20+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:25+02:00,22.98,63.11,98.0,0.0,24.65,101.19,6.0,444.0,3.0,41.396845,2.194344,111.83,,264.0,8.0,6.0,6.0,6.0
2020-10-01 02:20:30+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:35+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:40+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:45+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:50+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:20:55+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:00+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:05+02:00,,,,,,,,,,,,,,,,,,
2020-10-01 02:21:10+02:00,,,,,,,,,,,,,,,,,,
